,Factor 1,Factor 2,Factor 3,Factor 4,Residual
co,0.5356920637828122,0.07755247294556204,0.3561722924647389,0.019285390279933257,0.011297780526953627
no,0.5429560144993524,0.007189957874474156,0.43635671247311153,0.015076156733452261,-0.0015788415803903444
no2,0.943542554284379,0.047231025374370975,0.0,0.009372783806182484,-0.00014636346493257513
o3,0.40831574437487655,0.03008761013884163,0.5573162658538069,0.0045645910483617935,-0.0002842114158869702
bin0,0.13145423310266555,0.7368655792949425,0.1314945089631517,0.0,0.00018567863924023875
bin1,0.0,0.8249339534003973,0.0,0.26854759603655365,-0.09348154943695097
bin2,0.0,0.5350460501978358,0.0,0.4910624875823668,-0.026108537780202612
bin3,0.06553597770844558,0.23618794687433506,0.05575673589685992,0.6414365940037009,0.0010827455166585453
bin4,0.10704894043020759,0.028244495757991737,0.22785769690695534,0.6342476146026704,0.0026012523021748946
bin5,0.07067635324557496,0.0,0.27748407211460313,0.6543330883320922,-0.002493513692270355
